"Target","Source"
"immjournal","robsomtaylor"
"pirbright_inst","hayitsabi"
"pirbright_inst","abdulra93488593"
"imperialmed","facultinet"
"imperialmed","almccrtny"
"imperialmed","h_moshrif"
"pirbright_inst","hayitsabi"
"britsocimm","bsicongress"
"imperialmed","consultimperial"
"imperialmed","chrischiulab"
"imperialmed","imperial_rpm"
"imperialmed","technologywales"
"pirbright_inst","intvetvaccnet"
"pirbright_inst","amyflaxman"
"imperialmed","imperialmdr"
"pirbright_inst","sofia_ric19"
"imperialmed","jeremycranemd"
"pirbright_inst","owlsoring"
"london_immuno","drjwallis"
"gavi","claireward99"
"gavi","harryrogers1993"
"mirazrahman2","sepehrzmb"
"pirbright_inst","annesyrett"
"cgvr_liverpool","britsocimm"
"london_immuno","britsocimm"
"pirbright_inst","viropractor"
"gavi","harryrogers1993"
"pirbright_inst","krissy0984"
"sdl","publichealthbot"
"cgvr_liverpool","cerifielding"
"gavi","emi_belmore"
"imperialmed","anacp54"
"london_immuno","cerifielding"
"gavi","amref_uk"
"qblueskyq","gibb491"
"qblueskyq","gibb491"
"pirbright_inst","bbsrc"
"nihrresearch","leedsahp"
"imperialmed","meysamkz"
"nihrresearch","myorksresearch"
"blizard_inst","taniacorbettj"
"britsocimm","bdgrimshaw"
"gavi","podhoward"
"gavi","cbambara1"
"britsocimm","centreofthecell"
"pirbright_inst","madeleineaclark"
"lotusoak2","bellhappe"
"britsocimm","britsocimm"
"britsocimm","ucl_ahshs"
"drjwallis","ceijournal"
"britsocimm","neilemccarthy"
"britsocimm","london_immuno"
"tomicadriana","keitoxford"
"britsocimm","harkerimmuno"
"britsocimm","cerifielding"
"britsocimm","louisakjames"
"the_mrc","edinuni_meetcir"
"britsocimm","louisakjames"
"bsicongress","cerifielding"
"imperialmed","saraalmosawii"
"bsicongress","cerifielding"
"imperialmed","imperialcollege"
"pirbright_inst","drandybroadbent"
"lotusoak2","tartanspartan01"
"sheenaparish","atters68"
"lotusoak2","cathycathyfox"
"uclinfectimm","britsocimm"
"lotusoak2","cathycathyfox"
"imperialmed","mutibah1"
"imperialmed","bbgrandiocchi"
"lotusoak2","andrewmorrisuk"
"the_mrc","mrcppu"
"imperialmed","ukcovid19"
"foolsmultiply","iaincampbell008"
"foolsmultiply","iaincampbell008"
"britsocimm","qmul_dc"
"britsocimm","cerifielding"
"britsocimm","helencooksley"
"britsocimm","autoimmunitybsi"
"britsocimm","helencooksley"
"britsocimm","mleonrios"
"imperialmed","imperial_forum"
"britsocimm","budgietheii"
"the_mrc","tangarauk"
"britsocimm","clairegorby"
"britsocimm","cmmbristol"
"marked4u2c","almostrick"
"elila74","epistinnocence"
"ceijournal","edmondsonmary"
"ceijournal","drtregoning"
"gavi","hct_chis"
"alexjohnlondon","charlesweijer"
"pirbright_inst","tzer100"
"mleonrios","liverpoolfutsal"
"javierdiezd","vetconsent"
"franzepr","edwardcharding"
"maini_lab","cerifielding"
"maini_lab","uclinfectimm"
"datasciimmunol","cerifielding"
"maini_lab","stephykucykousa"
"datasciimmunol","anniedirlik"
"datasciimmunol","spacepootler"
"britsocimm","joannalgiles"
"lotusoak2","spoilpartygames"
"lotusoak2","spoilpartygames"
"britsocimm","_helenabrown"
"bsi_tumourimm","cerifielding"
"cgvr_liverpool","soumyapalliyil"
"franzepr","cerifielding"
"britsocimm","pomares_luisa"
"datasciimmunol","pomares_luisa"
"pirbright_inst","isabellewis19"
"britsocimm","animalresearch"
"britsocimm","slsingh"
"imperialmed","2tweetaboutit"
"franzepr","efourli"
"imperialmed","ecumminslfc"
"marked4u2c","samurzo"
"imperialmed","cristine_foster"
"elraynerista","katedodd3"
"britsocimm","mariaoconnell20"
"elraynerista","storm_images"
"elraynerista","shamils18"
"britsocimm","cerifielding"
"cgvr_liverpool","ighliverpool"
"drthomaspaul","realseanwagner"
"ceijournal","drjwallis"
